,study.id,study.type,continent,study.yrs,exp.duration,yrs,lat,long,elevation ,map,mat,phot,dom.plant,plant.life,plant.season,aridity.index,Aridity Index,humid,clim,PET,MAP.clim,MAT.clim,system,sub.system,soil.class,sand,clay,silt,starting.bD,starting.bD.units,reps.exp,reps.control,graz.exp.rate,graz.control.rate,graz.exp.strat,graz.control.strat,animal1.exp.rate,animal1.exp,animal2.exp.rate,animal2.exp,animal1.control.rate,animal1.control,animal2.control.rate,animal2.control,animal.unit,animal.rate.unit,soil.upper,soil.lower,soil.dept,meanBD.exp,sdBD.exp,seBD.exp,meanBD.control,sdBD.control,seBD.control,BD.units,BD?,meanSOC.exp,sdSOC.exp,seSOC.exp,meanSOC.control,sdSOC.control,seSOC.control,SOC.units,meanSOC.exp.gkg,sdSOC.exp.gkg,seSOC.exp.gkg,meanSOC.control.gkg,sdSOC.control.gkg,seSOC.control.gkg,SOC.units,SOC?,seWHC.exp,meanWHC.control,seWHC.control,WHC.units,meanSOM.exp,sdSOM.exp,seSOM.exp,meanSOM.control,sdSOM.control,seSOM.control,SOM.units,meanSOM.exp.gkg,sdSOM.exp.gkg,seSOM.exp.gkg,meanSOM.control.gkg,sdSOM.control.gkg,seSOM.control.gkg,SOM.units.gkg,meanCN.exp,sdCN.exp,seCN.exp,meanCN.control,sdCN.control,seCN.control,CN.units,CN?,meanTN.exp,sdTN.exp,seTN.exp,meanTN.control,sdTN.control,seTN.control,TN.units,meanTN.exp.gkg,sdTN.exp.gkg,seTN.exp.gkg,meanTN.control.gkg,sdTN.control.gkg,seTN.control.gkg,TN.units,meanN2O.exp,seN2O.exp,meanN2O.control,seN2O.control,N2O.units,meanCO2.exp,seCO2.exp,meanCO2.control,seCO2.control,CO2.units,meanER.exp,seER.exp,meanER.control,seER.control,ER.units,meanNPP.exp,sdNPP.exp,seNPP.exp,meanNPP.control,sdNPP.control,seNPP.control,NPP.units,Notes
,1,article,south america,10,10,2,-51.872974,-69.247494,,900,6.75,,,,cool,0.3434,0.3434,arid,warm,722,282,6.7,range,,0,,,,,,,,low,moderate,cont,cont,,cattle,,sheep,,,,,,,0,10,1,,,,,,,,0,1.9952,0.043679092,,1.856,0.031151747,,%,19.952,0.436790924,0,18.56,0.311517475,0,g kg-1,1,,,,,3.44,,,3.2,,,%,34.4,,,32,,,g kg-1,,,,,,,,0,0.17,0.01,,0.24,0.02,,%,1.7,0.1,0,2.4,0.2,0,g kg-1,1,,,,,0.65,,0.44,,g C m-2 h-1,0,,15,,%,29.1,,,11.6,,,g m-2 yr-1,"low: < 0.10 ewe ha yr, mod: 0.1-0.7 ewe ha yr, heavy: > 0.70"
,1,article,south america,10,10,2,-51.872974,-69.247494,,900,6.75,,,,cool,0.3434,0.3434,arid,warm,722,282,6.7,range,,0,,,,,,,,low,heavy,cont,cont,,cattle,,sheep,,,,,,,0,10,1,,,,,,,,0,1.9952,0.043679092,,2.2968,0.038550288,,%,19.952,0.436790924,0,22.968,0.385502875,0,g kg-1,1,,,,,3.44,,,3.96,,,%,34.4,,,39.6,,,g kg-1,,,,,,,,0,0.17,0.01,,0.14,0.01,,%,1.7,0.1,0,1.4,0.1,0,g kg-1,1,,,,,0.65,,0.55,,g C m-2 h-1,0,,3,,%,29.1,,,32.4,,,g m-2 yr-1,
,1,article,south america,10,10,2,-51.872974,-69.247494,,900,6.75,,,,cool,0.3434,0.3434,arid,warm,722,282,6.7,range,,0,,,,,,,,moderate,heavy,cont,cont,,cattle,,sheep,,,,,,,0,10,1,,,,,,,,0,2.2968,0.050281746,,1.856,0.031151747,,%,22.968,0.502817459,0,18.56,0.311517475,0,g kg-1,1,,,,,3.96,,,3.2,,,%,39.6,,,32,,,g kg-1,,,,,,,,0,0.24,0.02,,0.14,0.01,,%,2.4,0.2,0,1.4,0.1,0,g kg-1,1,,,,,0.55,,0.44,,g C m-2 h-1,3,,15,,%,32.4,,,11.6,,,g m-2 yr-1,
,1,article,south america,10,10,2,-51.872974,-69.247494,,900,6.75,,,,cool,0.3434,0.3434,arid,warm,722,282,6.7,range,,0,,,,,,,,moderate,low,cont,cont,,,,,,,,,,,0,10,1,,,,,,,g cm-3,0,,,,1.9952,0.043679092,,%,18.56,0.311517475,0,19.952,0.436790924,0,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24,0.02,,0.17,0.01,,g kg-1,2.4,0.2,0,1.7,0.1,0,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,
,1,article,south america,10,10,2,-51.872974,-69.247494,,900,6.75,,,,cool,0.3434,0.3434,arid,warm,722,282,6.7,range,,0,,,,,,,,heavy,low,cont,cont,,,,,,,,,,,0,10,1,,,,,,,g cm-3,0,1.856,0.031151747,,1.9952,0.043679092,,%,22.968,0.385502875,0,19.952,0.436790924,0,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.14,0.01,,0.17,0.01,,g kg-1,1.4,0.1,0,1.7,0.1,0,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,
,1,article,south america,10,10,2,-51.872974,-69.247494,,900,6.75,,,,cool,0.3434,0.3434,arid,warm,722,282,6.7,range,,0,,,,,,,,heavy,moderate,cont,cont,,,,,,,,,,,0,10,1,,,,,,,g cm-3,0,2.2968,0.038550288,,2.2968,0.050281746,,%,18.56,0.311517475,0,22.968,0.502817459,0,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.14,0.01,,0.24,0.02,,g kg-1,1.4,0.1,0,2.4,0.2,0,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,
,8,article,south america,7,7,2,-29.55,-51.483333,1100,1900,17.5,mix,mix,annual,warm,1.1137,1.1137,humid,warm,1292,1366,18.2,heavyegrated livestock,,5,61.4,,,,,3,3,moderate,none,cont,none,,cattle,,sheep,,,,,,,0,5,1,,,,,,,,0,46,1.007036012,0.581412513,50,0.839217335,0.484522354,g kg-1,46,1.007036012,0.581412513,50,0.839217335,0.484522354,g kg-1,1,,,,,,,,,,,,,,,,,,,13.3,,,13.1,,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,8,article,south america,12,12,2,-29.05,-53.833333,465,1850,19,mix,mix,annual,cool,1.2723,1.2723,humid,warm,1384,1744,17.6,heavyegrated livestock,,5,54,,,,,3,3,moderate,none,cont,none,,cattle,,sheep,,,,,,,0,5,1,,,,,,,,0,30,0.656762617,0.379182073,31,0.520314748,0.30040386,g kg-1,30,0.656762617,0.379182073,31,0.520314748,0.30040386,g kg-1,1,,,,,,,,,,,,,,,,,,,10.7,,,10.9,,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,8,article,south america,10,10,2,-30.083333,-51.65,46,1440,19.6,mix,mix,annual,warm,0.9788,0.9788,humid,warm,1325,1553,18.5,heavyegrated livestock,,0,15.5,,,,,3,3,moderate,none,cont,none,,cattle,,sheep,,,,,,,0,5,1,,,,,,,,0,18,0.39405757,0.227509244,20,0.335686934,0.193808942,g kg-1,18,0.39405757,0.227509244,20,0.335686934,0.193808942,g kg-1,1,,,,,,,,,,,,,,,,,,,10.7,,,10.4,,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,8,article,south america,10,10,2,-29.561111,-52.322222,537,1730,18.7,mix,mix,annual,warm,1.0592,1.0592,humid,warm,1282,1396,18.3,heavyegrated livestock,,0,,,,,,3,3,moderate,none,cont,none,,cattle,,sheep,,,,,,,0,5,1,,,,,,,,0,31,0.678654704,0.391821476,34,0.570667788,0.329475201,g kg-1,31,0.678654704,0.391821476,34,0.570667788,0.329475201,g kg-1,1,,,,,,,,,,,,,,,,,,,11.6,,,11.5,,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,8,article,south america,7,7,2,-29.55,-51.483333,1100,1900,17.5,mix,mix,annual,warm,1.1137,1.1137,humid,warm,1292,1366,18.2,heavyegrated livestock,,5,61.4,,,,,3,3,none,moderate,none,cont,,,,,,,,,,,0,5,1,,,,,,,g cm-3,0,1.856,0.031151747,,46,1.007036012,0.581412513,g kg-1,50,0.839217335,0.484522354,46,1.007036012,0.581412513,g kg-1,1,,,,,,,,,,,,,,,,,,,13.1,,,13.3,,,,1,,,,,,,g kg-1,,,,,,,g kg-1,0,,,,,,,,,,,,,,,,,,,,,,
,8,article,south america,12,12,2,-29.05,-53.833333,465,1850,19,mix,mix,annual,cool,1.2723,1.2723,humid,warm,1384,1744,17.6,heavyegrated livestock,,5,54,,,,,3,3,none,moderate,none,cont,,,,,,,,,,,0,5,1,,,,,,,g cm-3,0,50,0.839217335,0.484522354,30,0.656762617,0.379182073,g kg-1,31,0.520314748,0.30040386,30,0.656762617,0.379182073,g kg-1,1,,,,,,,,,,,,,,,,,,,10.9,,,10.7,,,,1,,,,,,,g kg-1,,,,,,,g kg-1,0,,,,,,,,,,,,,,,,,,,,,,
